cl60_1021	O4	25	25	1
cl60_1092	O11	1	148	0.00675676
cl60_1092	O6	147	148	0.993243
cl60_1171	O1	2	2	1
cl60_1172	O9	1	1	1
cl60_1177	O2/O5	1	1	1
cl60_1183	O7	1	1	1
cl60_1190	O1	1	1	1
cl60_140	O12	1	68	0.0147059
cl60_140	O13	1	68	0.0147059
cl60_140	O1	65	68	0.955882
cl60_140	O9	1	68	0.0147059
cl60_321	O11	1	262	0.00381679
cl60_321	O12	1	262	0.00381679
cl60_321	O2/O5	261	262	0.996183
cl60_328	O6	63	63	1
cl60_402	O2/O5	62	62	1
cl60_402	O6	1	62	0.016129
cl60_406	O2/O5	95	95	1
cl60_432	O10	89	91	0.978022
cl60_432	O11	2	91	0.021978
cl60_432	O6	1	91	0.010989
cl60_432	O7	1	91	0.010989
cl60_454	O2/O5	6	6	1
cl60_481	O13	3	3	1
cl60_525	O11	16	107	0.149533
cl60_525	O3	91	107	0.850467
cl60_525	O6	1	107	0.00934579
cl60_530	O10	2	208	0.00961538
cl60_530	O11	201	208	0.966346
cl60_530	O12	2	208	0.00961538
cl60_530	O13	5	208	0.0240385
cl60_567	O6	2	2	1
cl60_570	O2/O5	12	12	1
cl60_588	O2/O5	1	1	1
cl60_610	O2/O5	5	6	0.833333
cl60_610	O6	1	6	0.166667
cl60_611	O13	3	3	1
cl60_658	O2/O5	7	7	1
cl60_679	O7	57	57	1
cl60_692	O13	8	8	1
cl60_699	O7	2	2	1
cl60_704	O12	35	36	0.972222
cl60_704	O4	1	36	0.0277778
cl60_711	O11	4	5	0.8
cl60_711	O13	1	5	0.2
cl60_789	O11	6	60	0.1
cl60_789	O3	54	60	0.9
cl60_811	O4	76	76	1
cl60_832	O12	20	20	1
cl60_894	O7	10	10	1
cl60_991	O4	1	217	0.00460829
cl60_991	O6	216	217	0.995392
cl60_995	O11	1	3	0.333333
cl60_995	O6	2	3	0.666667
