cl60_1010	Acinetobacter	OC1	1	1	1.0	Highly confident
cl60_1012	Acinetobacter	K65	2	4	0.5	Uncertain
cl60_102	Acinetobacter	K37	1	1	1.0	Highly confident
cl60_1031	Acinetobacter	K30	1	1	1.0	Highly confident
cl60_1039	Acinetobacter	OC20	2	2	1.0	Highly confident
cl60_1044	Acinetobacter	K2	2	2	1.0	Highly confident
cl60_1069	Acinetobacter	K125	1	1	1.0	Highly confident
cl60_107	Acinetobacter	K13	11	13	0.846154	Confident
cl60_1074	Acinetobacter	OC20	1	1	1.0	Highly confident
cl60_1079	Acinetobacter	K217	1	1	1.0	Highly confident
cl60_1109	Acinetobacter	OC6	2	2	1.0	Highly confident
cl60_113	Acinetobacter	K52	9	9	1.0	Highly confident
cl60_1135	Acinetobacter	OC6	2	2	1.0	Highly confident
cl60_1142	Acinetobacter	OC1	2	2	1.0	Highly confident
cl60_1145	Acinetobacter	OC4	4	6	0.666667	Confident
cl60_1146	Acinetobacter	K203	2	7	0.285714	Uncertain
cl60_1147	Acinetobacter	K24-Wzy-GI2	3	4	0.75	Uncertain
cl60_115	Acinetobacter	K203	5	6	0.833333	Confident
cl60_1150	Acinetobacter	OC16	1	1	1.0	Highly confident
cl60_1158	Acinetobacter	OC1	47	136	0.345588	Confident
cl60_1159	Acinetobacter	K146	1	2	0.5	Uncertain
cl60_1161	Acinetobacter	K4	1	1	1.0	Highly confident
cl60_1164	Acinetobacter	OC3	6	7	0.857143	Confident
cl60_1176	Acinetobacter	OC4	4	6	0.666667	Confident
cl60_1180	Acinetobacter	K23	1	1	1.0	Highly confident
cl60_1189	Acinetobacter	K53	1	1	1.0	Highly confident
cl60_119	Acinetobacter	K53	4	4	1.0	Highly confident
cl60_123	Acinetobacter	K45	4	4	1.0	Highly confident
cl60_124	Acinetobacter	K85	1	1	1.0	Highly confident
cl60_133	Acinetobacter	K192	2	2	1.0	Highly confident
cl60_134	Acinetobacter	OC6	2	2	1.0	Highly confident
cl60_136	Acinetobacter	OC20	1	1	1.0	Highly confident
cl60_142	Acinetobacter	OC4	2	4	0.5	Uncertain
cl60_143	Acinetobacter	K20	5	7	0.714286	Confident
cl60_146	Acinetobacter	K34	2	3	0.666667	Uncertain
cl60_147	Acinetobacter	K17;K4	1;1	3;3	0.333333;0.333333	Uncertain;Uncertain
cl60_162	Acinetobacter	K176	1	2	0.5	Uncertain
cl60_163	Acinetobacter	K33	4	8	0.5	Confident
cl60_167	Acinetobacter	K42	2	2	1.0	Highly confident
cl60_168	Acinetobacter	K2	1	1	1.0	Highly confident
cl60_190	Acinetobacter	OC4	2	3	0.666667	Uncertain
cl60_199	Acinetobacter	OC6	4	4	1.0	Highly confident
cl60_205	Acinetobacter	K69	1	1	1.0	Highly confident
cl60_208	Acinetobacter	OC14	1	1	1.0	Highly confident
cl60_21	Acinetobacter	OC1	16	22	0.727273	Confident
cl60_210	Acinetobacter	OC20	1	1	1.0	Highly confident
cl60_213	Acinetobacter	K9	19	36	0.527778	Confident
cl60_215	Acinetobacter	K18	2	2	1.0	Highly confident
cl60_219	Acinetobacter	OC6	1	1	1.0	Highly confident
cl60_221	Acinetobacter	K172	3	3	1.0	Highly confident
cl60_222	Acinetobacter	OC6	6	7	0.857143	Confident
cl60_228	Acinetobacter	K132	1	1	1.0	Highly confident
cl60_233	Acinetobacter	K132	1	1	1.0	Highly confident
cl60_245	Acinetobacter	K116	6	13	0.461538	Confident
cl60_247	Acinetobacter	OC1	1	1	1.0	Highly confident
cl60_257	Acinetobacter	K14	4	6	0.666667	Confident
cl60_259	Acinetobacter	K155	12	21	0.571429	Confident
cl60_260	Acinetobacter	K2/K81	1	1	1.0	Highly confident
cl60_261	Acinetobacter	K206	5	13	0.384615	Confident
cl60_262	Acinetobacter	K47	48	64	0.75	Confident
cl60_270	Acinetobacter	K52	2	3	0.666667	Uncertain
cl60_271	Acinetobacter	OC6	1	1	1.0	Highly confident
cl60_275	Acinetobacter	K12;K170	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_277	Acinetobacter	K187	1	1	1.0	Highly confident
cl60_280	Acinetobacter	K18	3	3	1.0	Highly confident
cl60_284	Acinetobacter	K96	5	5	1.0	Highly confident
cl60_291	Acinetobacter	K220	7	7	1.0	Highly confident
cl60_292	Acinetobacter	K116;K176;K178	1;1;1	7;7;7	0.142857;0.142857;0.142857	Uncertain;Uncertain;Uncertain
cl60_297	Acinetobacter	OC6	22	24	0.916667	Highly confident
cl60_301	Acinetobacter	K13;K62	2;2	8;8	0.25;0.25	Uncertain;Uncertain
cl60_303	Acinetobacter	K230;K43	2;2	4;4	0.5;0.5	Uncertain;Uncertain
cl60_304	Acinetobacter	K116	1	1	1.0	Highly confident
cl60_308	Acinetobacter	K20	3	6	0.5	Uncertain
cl60_312	Acinetobacter	K52	1	1	1.0	Highly confident
cl60_32	Acinetobacter	K114	1	1	1.0	Highly confident
cl60_323	Acinetobacter	OC1	2	2	1.0	Highly confident
cl60_332	Acinetobacter	K96	4	6	0.666667	Confident
cl60_343	Acinetobacter	K34	1	1	1.0	Highly confident
cl60_347	Acinetobacter	OC6	2	2	1.0	Highly confident
cl60_349	Acinetobacter	K158	1	1	1.0	Highly confident
cl60_35	Acinetobacter	K36	3	4	0.75	Uncertain
cl60_36	Acinetobacter	OC4;OC6	3;4	14;14	0.214286;0.285714	Uncertain;Confident
cl60_363	Acinetobacter	K12	1	1	1.0	Highly confident
cl60_370	Acinetobacter	K62	1	1	1.0	Highly confident
cl60_372	Acinetobacter	K6	19	20	0.95	Highly confident
cl60_378	Acinetobacter	K163	24	28	0.857143	Confident
cl60_382	Acinetobacter	K2/K81	1	1	1.0	Highly confident
cl60_386	Acinetobacter	K238	3	7	0.428571	Uncertain
cl60_390	Acinetobacter	OC13	2	2	1.0	Highly confident
cl60_393	Acinetobacter	K108	5	6	0.833333	Confident
cl60_396	Acinetobacter	OC6	8	11	0.727273	Confident
cl60_399	Acinetobacter	K47	7	9	0.777778	Confident
cl60_40	Acinetobacter	K23	6	9	0.666667	Confident
cl60_403	Acinetobacter	OC1	3	3	1.0	Highly confident
cl60_404	Acinetobacter	OC1	4	4	1.0	Highly confident
cl60_427	Acinetobacter	K15	6	6	1.0	Highly confident
cl60_444	Acinetobacter	K18	48	80	0.6	Confident
cl60_452	Acinetobacter	K99	2	2	1.0	Highly confident
cl60_453	Acinetobacter	K32	2	2	1.0	Highly confident
cl60_467	Acinetobacter	OC5	2	2	1.0	Highly confident
cl60_471	Acinetobacter	K180	1	2	0.5	Uncertain
cl60_472	Acinetobacter	K32	11	17	0.647059	Confident
cl60_473	Acinetobacter	OC1	267	353	0.756374	Confident
cl60_48	Acinetobacter	K121	7	10	0.7	Confident
cl60_482	Acinetobacter	K146	1	2	0.5	Uncertain
cl60_488	Acinetobacter	K172	3	4	0.75	Uncertain
cl60_496	Acinetobacter	K49	3	8	0.375	Uncertain
cl60_506	Acinetobacter	K229	4	4	1.0	Highly confident
cl60_511	Acinetobacter	OC8	2	2	1.0	Highly confident
cl60_513	Acinetobacter	K24-Wzy-GI2	33	69	0.478261	Confident
cl60_519	Acinetobacter	K23;K97	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_522	Acinetobacter	K38	5	5	1.0	Highly confident
cl60_529	Acinetobacter	K18	8	14	0.571429	Confident
cl60_539	Acinetobacter	K19-Wzy/Atr25-GI1;K41	1;1	5;5	0.2;0.2	Uncertain;Uncertain
cl60_540	Acinetobacter	K239	3	5	0.6	Uncertain
cl60_545	Acinetobacter	K45	1	1	1.0	Highly confident
cl60_551	Acinetobacter	K9	3	3	1.0	Highly confident
cl60_560	Acinetobacter	K127-Wzy-Ph1	3	3	1.0	Highly confident
cl60_561	Acinetobacter	K17	3	5	0.6	Uncertain
cl60_568	Acinetobacter	K2	5	6	0.833333	Confident
cl60_573	Acinetobacter	K2;K2/K81	14;9	59;59	0.237288;0.152542	Confident;Confident
cl60_579	Acinetobacter	K217	1	1	1.0	Highly confident
cl60_59	Acinetobacter	OC1	4	7	0.571429	Confident
cl60_591	Acinetobacter	OC5	1	1	1.0	Highly confident
cl60_595	Acinetobacter	K229;K52	1;1	4;4	0.25;0.25	Uncertain;Uncertain
cl60_598	Acinetobacter	K202;K34	1;1	4;4	0.25;0.25	Uncertain;Uncertain
cl60_599	Acinetobacter	K79	1	1	1.0	Highly confident
cl60_602	Acinetobacter	OC6	2	2	1.0	Highly confident
cl60_604	Acinetobacter	K38	3	5	0.6	Uncertain
cl60_61	Acinetobacter	K6	2	4	0.5	Uncertain
cl60_612	Acinetobacter	K97	3	8	0.375	Uncertain
cl60_619	Acinetobacter	K17	5	6	0.833333	Confident
cl60_637	Acinetobacter	K91	2	3	0.666667	Uncertain
cl60_638	Acinetobacter	K166	1	1	1.0	Highly confident
cl60_648	Acinetobacter	K151	1	1	1.0	Highly confident
cl60_653	Acinetobacter	K38	1	1	1.0	Highly confident
cl60_656	Acinetobacter	K82	2	2	1.0	Highly confident
cl60_671	Acinetobacter	K208	1	1	1.0	Highly confident
cl60_701	Acinetobacter	OC6	7	15	0.466667	Confident
cl60_71	Acinetobacter	K10	8	13	0.615385	Confident
cl60_717	Acinetobacter	K190	1	1	1.0	Highly confident
cl60_741	Acinetobacter	K18	2	4	0.5	Uncertain
cl60_76	Acinetobacter	K27	2	2	1.0	Highly confident
cl60_760	Acinetobacter	K184	1	1	1.0	Highly confident
cl60_770	Acinetobacter	K179	1	2	0.5	Uncertain
cl60_775	Acinetobacter	K79	2	2	1.0	Highly confident
cl60_780	Acinetobacter	K91	2	2	1.0	Highly confident
cl60_783	Acinetobacter	K146	1	1	1.0	Highly confident
cl60_787	Acinetobacter	K84	1	1	1.0	Highly confident
cl60_792	Acinetobacter	OC2	2	2	1.0	Highly confident
cl60_799	Acinetobacter	K3	3	5	0.6	Uncertain
cl60_80	Acinetobacter	K10;K3	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_807	Acinetobacter	K32	17	22	0.772727	Confident
cl60_816	Acinetobacter	K128;K30	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_817	Acinetobacter	K6	2	2	1.0	Highly confident
cl60_825	Acinetobacter	OC16	1	1	1.0	Highly confident
cl60_83	Acinetobacter	K14	27	55	0.490909	Confident
cl60_831	Acinetobacter	K139	2	2	1.0	Highly confident
cl60_85	Acinetobacter	K203	6	9	0.666667	Confident
cl60_881	Acinetobacter	K125	2	2	1.0	Highly confident
cl60_886	Acinetobacter	OC6	1	1	1.0	Highly confident
cl60_892	Acinetobacter	K49	1	1	1.0	Highly confident
cl60_902	Acinetobacter	K49	1	1	1.0	Highly confident
cl60_908	Acinetobacter	OC4	1	1	1.0	Highly confident
cl60_921	Acinetobacter	K1;K4	7;4	31;31	0.225806;0.129032	Confident;Confident
cl60_926	Acinetobacter	K40/K91	4	6	0.666667	Confident
cl60_938	Acinetobacter	K15	1	1	1.0	Highly confident
cl60_94	Acinetobacter	K116	10	20	0.5	Confident
cl60_943	Acinetobacter	K65	2	2	1.0	Highly confident
cl60_948	Acinetobacter	OC4	1	1	1.0	Highly confident
cl60_957	Acinetobacter	K146	1	1	1.0	Highly confident
cl60_96	Acinetobacter	K79	3	3	1.0	Highly confident
cl60_969	Acinetobacter	K17	1	1	1.0	Highly confident
cl60_974	Acinetobacter	K146	1	1	1.0	Highly confident
cl60_979	Acinetobacter	OC2	2	3	0.666667	Uncertain
cl60_980	Acinetobacter	K25	2	3	0.666667	Uncertain
cl60_998	Acinetobacter	K1	12	27	0.444444	Confident
